bk,series,model,mounting,accessory,fmt,filename,path,rev,source,source_file,source_date,bytes,sha1,status,notes
AKHG180400,AKHG,AKHG 180-400,RS,,PDF,AKHG-180-400-RS.pdf,AKHG/AKHG-180-400-RS.pdf,A,generated,generated from catalogue,2026-09-18,88516,,generated,
AKHG180500,AKHG,AKHG 180-500,FS,,PDF,AKHG-180-500-FS.pdf,AKHG/AKHG-180-500-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG180500,AKHG,AKHG 180-500,RS,,PDF,AKHG-180-500-RS.pdf,AKHG/AKHG-180-500-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG180600,AKHG,AKHG 180-600,FS,,PDF,AKHG-180-600-FS.pdf,AKHG/AKHG-180-600-FS.pdf,A,generated,generated from catalogue,2026-09-18,88644,,generated,
AKHG180600,AKHG,AKHG 180-600,RS,,PDF,AKHG-180-600-RS.pdf,AKHG/AKHG-180-600-RS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG180800,AKHG,AKHG 180-800,FS,,PDF,AKHG-180-800-FS.pdf,AKHG/AKHG-180-800-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG180800,AKHG,AKHG 180-800,RS,,PDF,AKHG-180-800-RS.pdf,AKHG/AKHG-180-800-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG65100,AKHG,AKHG 65-100,FS,,PDF,AKHG-65-100-FS.pdf,AKHG/AKHG-65-100-FS.pdf,A,generated,generated from catalogue,2026-09-18,88660,,generated,
AKHG65100,AKHG,AKHG 65-100,RS,,PDF,AKHG-65-100-RS.pdf,AKHG/AKHG-65-100-RS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG65125,AKHG,AKHG 65-125,FS,,PDF,AKHG-65-125-FS.pdf,AKHG/AKHG-65-125-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG65125,AKHG,AKHG 65-125,RS,,PDF,AKHG-65-125-RS.pdf,AKHG/AKHG-65-125-RS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG65150,AKHG,AKHG 65-150,FS,,PDF,AKHG-65-150-FS.pdf,AKHG/AKHG-65-150-FS.pdf,A,generated,generated from catalogue,2026-09-18,88660,,generated,
AKHG65150,AKHG,AKHG 65-150,RS,,PDF,AKHG-65-150-RS.pdf,AKHG/AKHG-65-150-RS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG6520,AKHG,AKHG 65-20,FS,,PDF,AKHG-65-20-FS.pdf,AKHG/AKHG-65-20-FS.pdf,A,existing,CB:AKHG- 65-20-FS.PDF,2025-02-26,80827,05f0a15225094b09d53c845236508069c804b76f,review,model not in products.csv
AKHG65200,AKHG,AKHG 65-200,FS,,PDF,AKHG-65-200-FS.pdf,AKHG/AKHG-65-200-FS.pdf,A,generated,generated from catalogue,2026-09-18,88676,,generated,
AKHG65200,AKHG,AKHG 65-200,RS,,PDF,AKHG-65-200-RS.pdf,AKHG/AKHG-65-200-RS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG6525,AKHG,AKHG 65-25,FS,,PDF,AKHG-65-25-FS.pdf,AKHG/AKHG-65-25-FS.pdf,A,generated,generated from catalogue,2026-09-18,88564,,generated,
AKHG6525,AKHG,AKHG 65-25,RS,,PDF,AKHG-65-25-RS.pdf,AKHG/AKHG-65-25-RS.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHG6550,AKHG,AKHG 65-50,FS,,PDF,AKHG-65-50-FS.pdf,AKHG/AKHG-65-50-FS.pdf,A,generated,generated from catalogue,2026-09-18,88580,,generated,
AKHG6550,AKHG,AKHG 65-50,RS,,PDF,AKHG-65-50-RS.pdf,AKHG/AKHG-65-50-RS.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHG6575,AKHG,AKHG 65-75,FS,,PDF,AKHG-65-75-FS.pdf,AKHG/AKHG-65-75-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
AKHG6575,AKHG,AKHG 65-75,RS,,PDF,AKHG-65-75-RS.pdf,AKHG/AKHG-65-75-RS.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHG85100,AKHG,AKHG 85-100,FS,,PDF,AKHG-85-100-FS.pdf,AKHG/AKHG-85-100-FS.pdf,A,generated,generated from catalogue,2026-09-18,88644,,generated,
AKHG85100,AKHG,AKHG 85-100,RS,,PDF,AKHG-85-100-RS.pdf,AKHG/AKHG-85-100-RS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG85150,AKHG,AKHG 85-150,FS,,PDF,AKHG-85-150-FS.pdf,AKHG/AKHG-85-150-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG85150,AKHG,AKHG 85-150,RS,,PDF,AKHG-85-150-RS.pdf,AKHG/AKHG-85-150-RS.pdf,A,generated,generated from catalogue,2026-09-18,88516,,generated,
AKHG85200,AKHG,AKHG 85-200,FS,,PDF,AKHG-85-200-FS.pdf,AKHG/AKHG-85-200-FS.pdf,A,generated,generated from catalogue,2026-09-18,88612,,generated,
AKHG85200,AKHG,AKHG 85-200,RS,,PDF,AKHG-85-200-RS.pdf,AKHG/AKHG-85-200-RS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG85250,AKHG,AKHG 85-250,FS,,PDF,AKHG-85-250-FS.pdf,AKHG/AKHG-85-250-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG85250,AKHG,AKHG 85-250,RS,,PDF,AKHG-85-250-RS.pdf,AKHG/AKHG-85-250-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG8550,AKHG,AKHG 85-50,FS,,PDF,AKHG-85-50-FS.pdf,AKHG/AKHG-85-50-FS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG8550,AKHG,AKHG 85-50,RS,,PDF,AKHG-85-50-RS.pdf,AKHG/AKHG-85-50-RS.pdf,A,generated,generated from catalogue,2026-09-18,88452,,generated,
AKHS130100,AKHS,AKHS 130-100,RS,,PDF,AKHS-130-100.pdf,AKHS/AKHS-130-100.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHS130150,AKHS,AKHS 130-150,RS,,PDF,AKHS-130-150.pdf,AKHS/AKHS-130-150.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHS13070,AKHS,AKHS 130-70,RS,,PDF,AKHS-130-70.pdf,AKHS/AKHS-130-70.pdf,A,generated,generated from catalogue,2026-09-18,88452,,generated,
AKHS160150,AKHS,AKHS 160-150,RS,,PDF,AKHS-160-150.pdf,AKHS/AKHS-160-150.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHS16080,AKHS,AKHS 160-80,RS,,PDF,AKHS-160-80.pdf,AKHS/AKHS-160-80.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHS190100,AKHS,AKHS 190-100,RS,,PDF,AKHS-190-100.pdf,AKHS/AKHS-190-100.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AKHS190150,AKHS,AKHS 190-150,RS,,PDF,AKHS-190-150.pdf,AKHS/AKHS-190-150.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
ED1.5X10,ED,ED 1.5 x 10,FF,,PDF,ED-1.5x10.pdf,ED/ED-1.5x10.pdf,A,generated,generated from catalogue,2026-09-18,88772,,generated,
ED1.5X12,ED,ED 1.5 x 12,FF,,PDF,ED-1.5x12.pdf,ED/ED-1.5x12.pdf,A,generated,generated from catalogue,2026-09-18,88772,,generated,
ED1.5X14,ED,ED 1.5 x 14,FF,,PDF,ED-1.5x14.pdf,ED/ED-1.5x14.pdf,A,generated,generated from catalogue,2026-09-18,88756,,generated,
ED1.5X16,ED,ED 1.5 x 16,FF,,PDF,ED-1.5x16.pdf,ED/ED-1.5x16.pdf,A,generated,generated from catalogue,2026-09-18,88820,,generated,
ED1.5X18,ED,ED 1.5 x 18,FF,,PDF,ED-1.5x18.pdf,ED/ED-1.5x18.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED1.5X2,ED,ED 1.5 x 2,FF,,PDF,ED-1.5x2.pdf,ED/ED-1.5x2.pdf,A,generated,generated from catalogue,2026-09-18,88756,,generated,
ED1.5X20,ED,ED 1.5 x 20,FF,,PDF,ED-1.5x20.pdf,ED/ED-1.5x20.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED1.5X24,ED,ED 1.5 x 24,FF,,PDF,ED-1.5x24.pdf,ED/ED-1.5x24.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
